Demographic and Geographic Data,,,,,,,,,,,,Summary Data ,,,,,,,,,,,,,,,,,,,,,,,Renewable Power Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renewable (Biofuel)  Fuel Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensing Data,
FIPS2,State ,STATE_NAME,State,COUNTY,County Type,"Historical Political Leaning (Red and Blue = 60% or more, other = Purple) - over 20 years",In an RPS State?,% Democratic Voting,County Continuum Code,Population,Total Land Area (sq mi),Average per Capita  State Total Electricty Consumed in MWH per person in 2022,Non Nuclear Renewables MWH Produced per Resident per year,Ratio of RE to Energy Consumed per capita per year,MW of Installed Renewable Power Capacity per Acre,Estimated Total County Electricity Consumed in MWH (2022),Estimated Renewable MWH Generated  per Year,Total Renewables Installed Capacity  (MWH) ,County Renewables Capacity Factor,Sq Miles per RP Asset/Site ,Total # of RP Types in County (of 15),Total Liquid Biofuels Production in barrels,2022 Per Capita Petroleum Product Consumption (in barrels),Est County Petroleum Consumption in 2022 (barrels),Ratio of Produced Liquid Biofuels to Consumed Petroleum Products ,Total # of Solid Biofuel Production Facitlities,Total # of Gaseous Biofuel Production Facilities,Total # of Biofuels Production Facilities,# of Types of Biofuel Facilities,2022 Per Capita NG Consumed (mcf),Est 2022 NG Consumed (mcf),Coal Production (2022 in thousand short tons),2022 Oil Production in Barrels,2022 NG Production (MCF),Installed Capacity of Battery Projects/Assets/ Sites (MW),Estimated MWh per year (5.7% Battery Capacity Factor per NREL ATB 2024),Installed Capacity of Conventional Hydro Projects/Assets/Sites (MW),Estimated MWh per year (34.2% CF),Installed Capacity of Flywheel Projects/Assets / Sites (MW),Installed Capacity of Geothermal Projects/Assets / Sites (MW),Estimated Geothermal MWh per year (70%),Installed Capacity of Hydroelectric Pumped Storage Projects/Assets/Sites (MW),Estimated MWh per year (@ 12.5% usage),Installed Capacity of Landfill Gas Projects/Assets/Sites (MW),Estimated LFG power in MWh per year (72% CF),Installed Capacity of MSW Projects/Assets/Sites (MW),Estimated MSW power in MWh per year (72%),Installed Capacity of Offshore Wind Projects/Assets/Sites (MW),Est. Offshore Wind Power in MWH per year (44% CF),Installed Capacity of Onshore Wind Projects/Assets/Sites (MW),Est Onshore Wind Power in MWh per year (35% CF),Installed Capacity of Other Waste Biomass Projects/Assets/Sites (MW),Est Other Waste Biomass Power in MWH per year (72% CF),Installed Capacity of RNG Digester Projects/Assets/Sites (MW),Est Power produced by RNG Digester in MWH per year ,Installed Capacity of Solar PV Projects/Assets/Sites (MW),Est Solar PV Generation MWh per year (23.3% CF),Installed Capacity of Solar Thermal with Energy Storage Projects/Assets/Sites (MW),Est Power Generation from Solar Thermal w ES in MWH (45% CF),Installed Capacity of Solar Thermal w/out Energy Storage Projects/Assets/Sites,Est Solar Thermal w/out ES in MWH per year (25% CF),Installed Capacity of Wood/Waste Biomass in MW Projects/Assets/Sites,Est Power Generation of Wood Biomass in MWH per year (53.8% CF),Estimated Produced MWH of Renewable Power (MWH),Total Renewables Installed Capacity  (MWH) ,County Renewables Capacity Factor,# of Battery Projects/Assets/Sites,# of Conventional Hydro Projects/Assets/Sites,# of Flywheel Projects/Assets / Sites,# of Geothermal Projects/Assets / Sites,# of Hydroelectric Pumped Storage Projects/Assets/Sites,# of Landfill Gas Projects/Assets/Sites,# of MSW Projects/Assets/Sites,# of Offshore Wind Projects/Assets/Sites,# of Onshore Wind Projects/Assets/Sites,# of Other Waste Biomass Projects/Assets/Sites,# of RNG Digester Projects/Assets/Sites,# of Solar PV Projects/Assets/Sites,# of Solar Thermal with Energy Storage Projects/Assets/Sites,# of Solar Thermal without Energy Storage Projects/Assets/Sites,# of Wood/Waste Biomass Projects/Assets/Sites,Total # of Renewable Power Projects/Assets/Sites,Sq Miles per RP Asset/Site ,Total # of RP Types in County (of 15),# of Plants Producing Densified Biomass (tons/yr),# of Plants Producting Alternative Jet Fuel (mmgal / yr),# of Plants Producing Biodiesel (mmgal /yr),# of Plants Producing Ethanol (mmgal/yr),# of Plants Producing Liquid Hydrogen (tons/yr),# of Plants Producing Renewable Diesel (mmgal / yr),# of Plants Producing Renewable Gasoline (mmgal  / yr),# of Plants Producing Renewable Naptha (mmgal / yr),# of Type of Liquid Biofuel Plants, Alternative Jet Fuel Production Capacity (mmgal / yr), Biodiesel Production Capacity (mmgal /yr), Densified Biomass Production Capacity (tons/yr), Ethanol Production Capacity (mmgal/yr), Liquid Hydrogen Production Capacity (tons/yr), Renewable Diesel Production Capacity (mmgal / yr), Renewable Gasoline Production Capacity (mmgal  / yr), Renewable Naptha Production Capacity (mmgal / yr),Total Liquid Biofuels Production (not Liquid Hydrogen or Densified Biomass),Total Liquid Biofuel Production in Barrels (in million barrels) ,Total Liquid Biofuels Production in barrels,2022 Per Capita Petroleum Product Consumption (in barrels),Est County Petroleum Consumption in 2022 (barrels),Ratio of Produced Liquid Biofuels to Consumed Petroleum Products ,Total Solids Biofuels Production (tons / yr),# of Dairy Manure Biogas Facilities,# of Swine Manure Biogas Facilities,# of Chicken Manure Biogas Facilities,# of Food Waste Biogas Facilities,# of Wastewater Treatment Biogas Facilities,# of Landfill Biogas Facilities,# of Types of RNG Facilities,Total # of Liquid Biofuel Producing Facilities,Total # of Solid Biofuel Production Facitlities,Total # of Gaseous Biofuel Production Facilities,Total # of Biofuels Production Facilities,# of Types of Biofuel Facilities,2022 Per Capita NG Consumed (mcf),Total # of Alternative Fuel Dispensing Points,Total # of Electricity (Charging) Dispensing Points
55001,WI,Wisconsin,Wisconsin,Adams,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,48%,8," 20,654 ", 646 ,12,2,18%,0," 244,998 "," 44,939 ", 15 , 0 , 129 , 1 , -   , 18 ," 377,968 ", -   , -   , -   , -   , -   , 101 ," 2,083,989 ",,0,0, -   , -   , 15 ," 44,939 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 44,939 ", 15 ,34%,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 377,968 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , -   , -   
55003,WI,Wisconsin,Wisconsin,Ashland,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",BLUE,Yes,60%,7," 16,027 "," 1,045 ",12,6,51%,0," 190,112 "," 96,995 ", 21 , 0 , 348 , 2 , -   , 18 ," 293,294 ", -   , 1 , -   , 1 , -   , 101 ," 1,617,124 ",,0,0, -   , -   , 1 ," 2,996 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 ," 93,999 "," 96,995 ", 21 ,2%,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 293,294 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 101 , 5 , 6 
55005,WI,Wisconsin,Wisconsin,Barron,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,44%,6," 46,711 ", 863 ,12,0,3%,0," 554,086 "," 19,282 ", 9 , 0 , 216 , 2 , -   , 18 ," 854,811 ", -   , -   , -   , -   , -   , 101 ," 4,713,140 ",,0,0, -   , -   , 0 , 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 ," 18,982 ", -   , -   , -   , -   , -   , -   ," 19,282 ", 9 ,23%,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 854,811 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 3 , 5 
55007,WI,Wisconsin,Wisconsin,Bayfield,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,58%,8," 16,220 "," 1,478 ",12,0,0%,0," 192,402 ", -   , -   , -   , -   , -   , -   , 18 ," 296,826 ", -   , -   , 1 , 1 , 1 , 101 ," 1,636,598 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 296,826 ",0%, -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , -   , 8 
55009,WI,Wisconsin,Wisconsin,Brown,"Metro - Counties in metro areas of 250,000 to 1 million population",PURPLE,Yes,47%,2," 268,740 ", 530 ,12,0,2%,0," 3,187,794 "," 70,150 ", 21 , 0 , 177 , 2 , -   , 18 ," 4,917,942 ", -   , 1 , -   , 1 , -   , 101 ," 27,115,866 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 ," 61,320 ", 1 ," 8,830 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 70,150 ", 21 ,37%,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 4,917,942 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , 101 , 14 , 51 
55011,WI,Wisconsin,Wisconsin,Buffalo,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,47%,8," 13,317 ", 676 ,12,0,4%,0," 157,966 "," 6,123 ", 3 , 0 , 676 , 1 , -   , 18 ," 243,701 ", -   , -   , -   , -   , -   , 101 ," 1,343,685 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 ," 6,123 ", -   , -   , -   , -   , -   , -   ," 6,123 ", 3 ,23%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 243,701 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , -   , -   
55013,WI,Wisconsin,Wisconsin,Burnett,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,43%,8," 16,526 ", 822 ,12,0,3%,0," 196,031 "," 6,591 ", 2 , 0 , 137 , 1 , -   , 18 ," 302,426 ", -   , -   , -   , -   , -   , 101 ," 1,667,473 ",,0,0, -   , -   , 2 ," 6,591 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 6,591 ", 2 ,34%,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 302,426 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , -   , 2 
55015,WI,Wisconsin,Wisconsin,Calumet,"Metro - Counties in metro areas of fewer than 250,000 population",PURPLE,Yes,42%,3," 52,442 ", 318 ,12,0,0%,0," 622,067 ", -   , -   , -   , -   , -   , -   , 18 ," 959,689 ", -   , -   , -   , -   , -   , 101 ," 5,291,398 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 959,689 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 1 , 2 
55017,WI,Wisconsin,Wisconsin,Chippewa,"Metro - Counties in metro areas of fewer than 250,000 population",PURPLE,Yes,45%,3," 66,297 "," 1,008 ",12,9,73%,0," 786,415 "," 576,369 ", 194 , 0 , 42 , 2 ," 1,238,095 ", 18 ," 1,213,235 ", 1 , -   , -   , -   , 1 , 101 ," 6,689,367 ",,0,0, -   , -   , 190 ," 569,225 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 ," 7,144 ", -   , -   , -   , -   , -   , -   ," 576,369 ", 194 ,34%,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,24,42,2,0,0,0,1,0,0,0,0,1,0,0,0,52,0,0,0,0,52, 1.2 ," 1,238,095.2 ",18.3," 1,213,235 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 101 , 2 , 9 
55019,WI,Wisconsin,Wisconsin,Clark,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,41%,8," 34,659 "," 1,210 ",12,0,3%,0," 411,125 "," 12,614 ", 2 , 1 , 605 , 1 , -   , 18 ," 634,260 ", -   , -   , -   , -   , -   , 101 ," 3,497,093 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 ," 12,614 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,614 ", 2 ,72%,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 634,260 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 2 , 2 
